cluster,churn,total_listen,avg_listen,sessions,active_duration,membership_days,is_paid,unique_artists,unique_songs,avg_session_duration,count
7,0.4986225895316804,334185.62957414327,248.89653208698286,14.8534435261708,3345054.720661157,0.0,0.0,964.5250688705235,1214.5052341597795,61191.27441347177,1815
9,0.3745130773511408,146255.83326148023,248.84140658604565,7.901224262659989,2955526.7120200335,0.0,0.0,484.5495269894268,556.5567612687813,41329.797993842985,3594
6,0.3549618320610687,10915.551408377862,244.04994779826822,1.0,10854.464694656488,0.0,0.0,42.405534351145036,43.53530534351145,10854.464694656488,1048
8,0.2434540389972145,46962.605257058494,248.71164014223766,5.179387186629526,2839465.1551532033,0.0,0.0,174.82506963788302,185.0891364902507,17742.88602002878,3590
0,0.1957857769973661,16830.68747543459,248.23368917897398,3.2739244951712028,2296479.563213345,0.0,0.0,65.63740122914838,67.21027216856892,8021.200216894232,2278
2,0.18573136707851734,619545.6730075448,248.77013971906263,29.91390992427262,4777009.689119171,0.0,0.0,1563.0239139099242,2145.0685532084494,49008.40911882854,2509
5,0.15139949109414758,1193727.9404305343,248.8572084186941,55.83078880407125,5029134.693384224,0.0,0.0,2496.9961832061067,3830.171755725191,48854.901420944,786
3,0.0928813559322034,101223.92711985085,248.75150939775685,10.32677966101695,4355149.549152543,0.0,0.0,352.5227118644068,391.4630508474576,19453.38101263,2950
1,0.05422174264904235,281657.9853507365,248.7089805103045,17.58996493121122,4835845.261397356,0.0,0.0,841.9616940922579,1036.899109792285,34787.84782046049,3707
4,0.0,0.0,0.0,158115.0,5270381.0,0.0,0.0,0.0,0.0,594377.6779810374,1
